location,date,rainfall_mm
Chengalpattu,2025-06-29,0.9
Chengalpattu,2025-06-30,0.0
Chengalpattu,2025-07-01,0.18
Chengalpattu,2025-07-02,1.64
Chengalpattu,2025-07-03,0.22
Chengalpattu,2025-07-04,0.24
Chengalpattu,2025-07-05,0.17
Chengalpattu,2025-07-06,0.76
Chengalpattu,2025-07-07,1.12
Chengalpattu,2025-07-08,1.05
Chengalpattu,2025-07-09,0.17
Chengalpattu,2025-07-10,0.01
Chengalpattu,2025-07-11,1.31
Chengalpattu,2025-07-12,0.19
Chengalpattu,2025-07-13,0.65
Chengalpattu,2025-07-14,0.28
Chengalpattu,2025-07-15,0.19
Chengalpattu,2025-07-16,0.18
Chengalpattu,2025-07-17,0.01
Chengalpattu,2025-07-18,0.55
Chennai,2025-06-29,0.18
Chennai,2025-06-30,0.11
Chennai,2025-07-01,0.23
Chennai,2025-07-02,1.7
Chennai,2025-07-03,0.48
Chennai,2025-07-04,0.67
Chennai,2025-07-05,0.02
Chennai,2025-07-06,0.14
Chennai,2025-07-07,0.05
Chennai,2025-07-08,0.15
Chennai,2025-07-09,0.45
Chennai,2025-07-10,0.07
Chennai,2025-07-11,0.0
Chennai,2025-07-12,0.01
Chennai,2025-07-13,0.42
Chennai,2025-07-14,0.11
Chennai,2025-07-15,0.03
Chennai,2025-07-16,0.37
Chennai,2025-07-17,0.05
Chennai,2025-07-18,0.21
Puducherry,2025-06-29,0.03
Puducherry,2025-06-30,0.05
Puducherry,2025-07-01,0.08
Puducherry,2025-07-02,0.55
Puducherry,2025-07-03,0.14
Puducherry,2025-07-04,0.85
Puducherry,2025-07-05,0.12
Puducherry,2025-07-06,0.02
Puducherry,2025-07-07,0.05
Puducherry,2025-07-08,0.0
Puducherry,2025-07-09,0.06
Puducherry,2025-07-10,0.11
Puducherry,2025-07-11,0.61
Puducherry,2025-07-12,0.18
Puducherry,2025-07-13,0.05
Puducherry,2025-07-14,0.03
Puducherry,2025-07-15,0.0
Puducherry,2025-07-16,0.21
Puducherry,2025-07-17,0.73
Puducherry,2025-07-18,4.21
Kancheepuram,2025-06-29,0.01
Kancheepuram,2025-06-30,0.01
Kancheepuram,2025-07-01,0.2
Kancheepuram,2025-07-02,4.19
Kancheepuram,2025-07-03,0.9
Kancheepuram,2025-07-04,0.3
Kancheepuram,2025-07-05,0.36
Kancheepuram,2025-07-06,0.57
Kancheepuram,2025-07-07,1.37
Kancheepuram,2025-07-08,0.07
Kancheepuram,2025-07-09,0.62
Kancheepuram,2025-07-10,0.28
Kancheepuram,2025-07-11,1.48
Kancheepuram,2025-07-12,0.57
Kancheepuram,2025-07-13,1.01
Kancheepuram,2025-07-14,0.93
Kancheepuram,2025-07-15,0.24
Kancheepuram,2025-07-16,0.86
Kancheepuram,2025-07-17,0.23
Kancheepuram,2025-07-18,0.26
